Date,orcl,ibm,avgo,gild,mmm,lmt,acn,blk,bmy,low,pypl,hd,bk,meta,tsla,tmus,abbv,crm,wmt,t
2024-07-12,144.44520568847656,181.2447967529297,169.5094757080078,69.31221771240234,103.48214721679688,461.1587219238281,309.3707580566406,823.0990600585938,40.01210021972656,232.95040893554688,60.27000045776367,357.5979919433594,64.20500946044922,498.39453125,248.22999572753906,178.95672607421875,168.72999572753906,253.57191467285156,69.04319763183594,18.571550369262695
2024-07-15,142.7490234375,181.2943572998047,170.8580322265625,70.15435028076172,102.16922760009766,461.3078918457031,316.5813903808594,818.1185913085938,39.705535888671875,231.04962158203125,60.470001220703125,356.2958984375,65.21736145019531,495.6871337890625,252.63999938964844,181.1595458984375,168.02999877929688,252.46365356445312,69.41214752197266,18.344467163085938
2024-07-16,142.29005432128906,184.19895935058594,168.82473754882812,70.9766616821289,102.75605773925781,465.9818115234375,323.6824951171875,838.9751586914062,40.74391174316406,239.80715942382812,61.810001373291016,366.89154052734375,64.53253173828125,489.3232116699219,256.55999755859375,182.3855438232422,169.1999969482422,255.62867736816406,69.79106140136719,18.61104393005371
2024-07-17,138.9475555419922,185.82473754882812,155.46865844726562,72.62129974365234,104.07892608642578,473.4302978515625,324.2800598144531,836.1419677734375,42.672325134277344,241.86717224121094,61.2400016784668,369.64483642578125,63.609500885009766,461.5496826171875,248.5,182.9636688232422,175.27000427246094,250.8262176513672,70.82810974121094,18.9171142578125
2024-07-18,137.72032165527344,183.61407470703125,159.9937744140625,72.82935333251953,103.46224975585938,473.3606872558594,326.7699279785156,824.123046875,41.920738220214844,238.21487426757812,60.0,363.8699035644531,63.00407791137695,475.396484375,249.22999572753906,181.69778442382812,171.13999938964844,246.96229553222656,70.61870574951172,18.90723991394043
2024-07-19,138.24913024902344,181.66114807128906,156.83416748046875,71.88814544677734,103.36278533935547,472.28668212890625,327.8554992675781,825.8130493164062,42.16796875,237.36898803710938,59.33000183105469,361.16632080078125,62.220001220703125,476.3356018066406,239.1999969482422,181.4585723876953,172.32000732421875,247.24185180664062,70.54890441894531,18.877622604370117
2024-07-22,139.85552978515625,182.5533447265625,160.53199768066406,71.73954010009766,104.40715789794922,471.95849609375,330.1661071777344,838.279296875,42.197635650634766,239.1105499267578,60.77000045776367,361.0570068359375,63.2599983215332,486.9354553222656,251.50999450683594,176.86355590820312,173.61000061035156,253.68173217773438,70.1799545288086,18.31484603881836
2024-07-23,142.78892517089844,182.5037841796875,163.23312377929688,70.51101684570312,104.16844940185547,498.5104675292969,328.9908752441406,839.7207641601562,42.50420379638672,237.16000366210938,59.709999084472656,357.44891357421875,63.630001068115234,488.2242431640625,246.3800048828125,175.9864044189453,173.14999389648438,255.65863037109375,70.4491958618164,17.979156494140625
2024-07-24,138.4586639404297,182.4244842529297,150.8438720703125,72.81944274902344,102.69638061523438,512.3433227539062,327.3475646972656,822.781005859375,44.16560745239258,231.6699981689453,58.06999969482422,348.19512939453125,63.900001525878906,460.8303527832031,215.99000549316406,176.31533813476562,176.2100067138672,249.3884735107422,70.39933013916016,18.9171142578125
2024-07-25,137.51080322265625,190.31546020507812,148.7706756591797,75.80157470703125,102.83563232421875,518.5089721679688,328.78173828125,831.61865234375,44.768856048583984,234.77000427246094,57.220001220703125,351.1571350097656,64.80999755859375,452.9778747558594,220.25,174.57102966308594,182.1699981689453,256.1178894042969,69.82097625732422,18.946733474731445
2024-07-26,138.6981201171875,190.0874481201172,151.13291931152344,76.29694366455078,126.47817993164062,521.8900756835938,327.1284484863281,851.1630859375,49.89151382446289,238.8699951171875,58.290000915527344,357.339599609375,65.3499984741211,465.25616455078125,219.8000030517578,174.9597625732422,185.16000366210938,262.2981872558594,69.5816650390625,18.76901626586914
2024-07-29,137.99969482421875,189.83961486816406,149.7275390625,77.0102767944336,124.48890686035156,524.71435546875,324.87762451171875,857.0780639648438,48.43778610229492,239.8000030517578,58.939998626708984,359.4865417480469,64.58999633789062,465.2661437988281,232.10000610351562,176.29539489746094,181.94000244140625,258.1846618652344,69.422119140625,18.660409927368164
2024-07-30,135.36561584472656,189.38360595703125,143.0495147705078,77.32731628417969,126.07037353515625,534.6787719726562,327.865478515625,867.4566650390625,48.50700759887695,241.39999389648438,64.0,361.4943542480469,65.23999786376953,462.74853515625,222.6199951171875,174.79031372070312,186.77999877929688,257.52569580078125,68.99333953857422,18.739395141601562
2024-07-31,139.1371307373047,190.4740753173828,160.1532440185547,75.3557357788086,126.8660888671875,538.9151611328125,329.2796936035156,871.3436279296875,47.033504486083984,245.50999450683594,65.77999877929688,365.9373474121094,65.06999969482422,474.37744140625,232.07000732421875,181.6878204345703,185.32000732421875,258.3943176269531,68.44490051269531,19.00597381591797
2024-08-01,137.2014923095703,188.0155792236328,146.5380401611328,75.78175354003906,125.79187774658203,545.816650390625,326.75,860.2592163085938,47.636749267578125,241.36000061035156,65.30999755859375,356.4151611328125,64.63999938964844,497.2655944824219,216.86000061035156,186.4622802734375,189.7100067138672,252.663330078125,69.59163665771484,19.22318458557129
